Date,Open,High,Low,Close,Adj Close,Volume
2000-09-01,40.875000,40.875000,40.000000,40.812500,30.278671,4100
2000-09-05,40.531250,40.531250,40.125000,40.375000,29.954094,4000
2000-09-06,40.500000,40.562500,40.125000,40.125000,29.768620,800
2000-09-07,40.500000,40.875000,40.500000,40.875000,30.325048,2200
2000-09-08,41.218750,41.218750,40.375000,40.375000,29.954094,5600
2000-09-11,40.312500,42.000000,40.125000,42.000000,31.159674,4100
2000-09-12,42.093750,42.093750,40.593750,41.187500,30.556883,9200
2000-09-13,41.250000,41.250000,40.562500,40.625000,30.139561,4300
2000-09-14,41.000000,41.000000,40.312500,40.437500,30.000439,1500
2000-09-15,40.375000,41.187500,40.125000,40.937500,30.371389,5400
2000-09-18,40.437500,41.250000,40.375000,41.250000,30.603254,9500
2000-09-19,40.625000,41.187500,40.375000,40.500000,30.046818,8900
2000-09-20,40.000000,40.562500,40.000000,40.125000,29.768620,1600
2000-09-21,40.000000,40.500000,40.000000,40.000000,29.675882,700
2000-09-22,40.375000,41.250000,40.000000,40.062500,29.722240,5500
2000-09-25,40.062500,40.625000,38.937500,39.750000,29.490404,6400
2000-09-26,38.250000,39.812500,38.250000,39.812500,29.536774,14900
2000-09-27,40.875000,40.937500,39.937500,40.000000,29.675882,5200
2000-09-28,40.750000,40.875000,39.437500,40.812500,30.278671,11900
2000-09-29,40.093750,42.078125,39.250000,41.937500,31.113300,17100
2000-10-02,41.593750,42.000000,40.750000,40.750000,30.232296,4200
2000-10-03,41.281250,41.875000,40.625000,41.125000,30.510519,4500
2000-10-04,41.125000,41.375000,40.312500,40.875000,30.325048,1100
2000-10-05,40.687500,41.062500,40.562500,40.562500,30.093191,700
2000-10-06,40.000000,40.000000,38.000000,39.500000,29.304928,10600
2000-10-09,41.250000,41.250000,38.625000,38.812500,28.794884,1900
2000-10-10,39.375000,41.000000,39.250000,40.937500,30.371389,3500
2000-10-11,38.250000,39.375000,38.250000,39.375000,29.212206,1400
2000-10-12,38.312500,41.000000,38.312500,41.000000,30.417778,1500
